item_name,category,tag1,tag2,tag3,tag4,tag5,author_date,committer_date,msg,commmitter,author
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-21T16:34:21+01:00,2018-03-21T16:34:21+01:00,first commit..starting with domain,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-22T11:07:31+01:00,2018-03-22T11:07:31+01:00,created git_repository and other important classes,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-22T12:53:52+01:00,2018-03-22T12:53:52+01:00,git repo now has get_commit,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-26T13:13:27+02:00,2018-03-26T13:13:27+02:00,"add modification, implemented files()",ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-27T16:34:02+02:00,2018-03-27T16:34:02+02:00,first visitor works!,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-27T17:43:12+02:00,2018-03-27T17:43:12+02:00,improvements on git_repository,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T11:29:24+02:00,2018-03-28T11:29:24+02:00,started some documentation,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T11:31:08+02:00,2018-03-28T11:31:08+02:00,ignoring test-repos. Uploading test-repos.zip,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T11:41:30+02:00,2018-03-28T11:41:30+02:00,better handling of dates in the test,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T11:56:13+02:00,2018-03-28T11:56:13+02:00,more documentation,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T14:30:18+02:00,2018-03-28T14:30:18+02:00,added filters. new tests too,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T15:50:25+02:00,2018-03-28T15:50:25+02:00,now it handles different branches,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T16:44:25+02:00,2018-03-28T16:44:25+02:00,moving from unittest to pytest,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T16:50:58+02:00,2018-03-28T16:50:58+02:00,created travis requirements,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T16:56:44+02:00,2018-03-28T16:56:44+02:00,update travis file,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-28T17:05:39+02:00,2018-03-28T17:05:39+02:00,moving from == to is,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-29T10:21:09+02:00,2018-03-29T10:21:09+02:00,new test and small modifications,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-29T11:46:59+02:00,2018-03-29T11:46:59+02:00,add test for modification. using fixture of pytest in repository mining tests,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-29T13:13:07+02:00,2018-03-29T13:13:07+02:00,more integration tests,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-29T16:32:03+02:00,2018-03-29T16:32:03+02:00,now it creates a new branch when checking out. More tests too,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-29T16:58:07+02:00,2018-03-29T16:58:07+02:00,finish to replicate repodriller tests,ishepard,ishepard
anthropmmd,Packages and libraries,Cultural evolution,Statistical analysis,,,,2018-03-29T17:02:33+02:00,2018-03-29T17:02:33+02:00,small,ishepard,ishepard
